web_book_id,title,price,rating,availability,category_id,product_url,source_id,scraped_at
1,It's Only the Himalayas,45.17,2,In stock,11,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,3,2026-03-06 11:34:43
2,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,In stock,11,http://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,3,2026-03-06 11:34:43
3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,In stock,11,http://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,3,2026-03-06 11:34:43
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,In stock,11,http://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,3,2026-03-06 11:34:43
5,Under the Tuscan Sun,37.33,3,In stock,11,http://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,3,2026-03-06 11:34:43
6,A Summer In Europe,44.34,2,In stock,11,http://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,3,2026-03-06 11:34:43
7,The Great Railway Bazaar,30.54,1,In stock,11,http://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,3,2026-03-06 11:34:43
8,A Year in Provence (Provence #1),56.88,4,In stock,11,http://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,3,2026-03-06 11:34:43
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,In stock,11,http://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,3,2026-03-06 11:34:43
10,Neither Here nor There: Travels in Europe,38.95,3,In stock,11,http://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,3,2026-03-06 11:34:43
11,"1,000 Places to See Before You Die",26.08,5,In stock,11,http://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,3,2026-03-06 11:34:43
